season,grass_sp,tick_abundance
Summer,grass_sp1,3
Summer,grass_sp1,9
Summer,grass_sp1,5
Summer,grass_sp1,1
Summer,grass_sp1,6
Summer,grass_sp1,8
Summer,grass_sp1,6
Summer,grass_sp1,4
Summer,grass_sp1,2
Summer,grass_sp1,2
Summer,grass_sp1,6
Summer,grass_sp1,2
Summer,grass_sp1,1
Summer,grass_sp1,5
Summer,grass_sp1,3
Summer,grass_sp1,4
Summer,grass_sp1,3
Summer,grass_sp1,3
Summer,grass_sp1,2
Summer,grass_sp1,4
Summer,grass_sp1,2
Summer,grass_sp1,5
Summer,grass_sp1,3
Summer,grass_sp1,6
Summer,grass_sp1,2
Summer,grass_sp1,8
Summer,grass_sp1,6
Summer,grass_sp1,3
Summer,grass_sp1,5
Summer,grass_sp1,1
Summer,grass_sp2,4
Summer,grass_sp2,8
Summer,grass_sp2,14
Summer,grass_sp2,8
Summer,grass_sp2,10
Summer,grass_sp2,3
Summer,grass_sp2,7
Summer,grass_sp2,13
Summer,grass_sp2,6
Summer,grass_sp2,8
Summer,grass_sp2,6
Summer,grass_sp2,8
Summer,grass_sp2,8
Summer,grass_sp2,13
Summer,grass_sp2,5
Summer,grass_sp2,4
Summer,grass_sp2,11
Summer,grass_sp2,12
Summer,grass_sp2,7
Summer,grass_sp2,7
Summer,grass_sp2,11
Summer,grass_sp2,12
Summer,grass_sp2,5
Summer,grass_sp2,16
Summer,grass_sp2,6
Summer,grass_sp2,15
Summer,grass_sp2,14
Summer,grass_sp2,2
Summer,grass_sp2,9
Summer,grass_sp2,10
Summer,grass_sp3,11
Summer,grass_sp3,28
Summer,grass_sp3,13
Summer,grass_sp3,10
Summer,grass_sp3,13
Summer,grass_sp3,28
Summer,grass_sp3,16
Summer,grass_sp3,14
Summer,grass_sp3,19
Summer,grass_sp3,10
Summer,grass_sp3,19
Summer,grass_sp3,21
Summer,grass_sp3,16
Summer,grass_sp3,11
Summer,grass_sp3,17
Summer,grass_sp3,17
Summer,grass_sp3,14
Summer,grass_sp3,16
Summer,grass_sp3,16
Summer,grass_sp3,7
Summer,grass_sp3,12
Summer,grass_sp3,10
Summer,grass_sp3,17
Summer,grass_sp3,10
Summer,grass_sp3,13
Summer,grass_sp3,9
Summer,grass_sp3,22
Summer,grass_sp3,14
Summer,grass_sp3,7
Summer,grass_sp3,11
Winter,grass_sp1,9
Winter,grass_sp1,9
Winter,grass_sp1,7
Winter,grass_sp1,4
Winter,grass_sp1,8
Winter,grass_sp1,7
Winter,grass_sp1,7
Winter,grass_sp1,8
Winter,grass_sp1,14
Winter,grass_sp1,10
Winter,grass_sp1,6
Winter,grass_sp1,11
Winter,grass_sp1,10
Winter,grass_sp1,5
Winter,grass_sp1,9
Winter,grass_sp1,6
Winter,grass_sp1,9
Winter,grass_sp1,6
Winter,grass_sp1,10
Winter,grass_sp1,8
Winter,grass_sp1,10
Winter,grass_sp1,7
Winter,grass_sp1,12
Winter,grass_sp1,8
Winter,grass_sp1,5
Winter,grass_sp1,10
Winter,grass_sp1,10
Winter,grass_sp1,17
Winter,grass_sp1,9
Winter,grass_sp1,4
Winter,grass_sp2,34
Winter,grass_sp2,23
Winter,grass_sp2,16
Winter,grass_sp2,15
Winter,grass_sp2,38
Winter,grass_sp2,13
Winter,grass_sp2,34
Winter,grass_sp2,20
Winter,grass_sp2,11
Winter,grass_sp2,24
Winter,grass_sp2,21
Winter,grass_sp2,18
Winter,grass_sp2,31
Winter,grass_sp2,18
Winter,grass_sp2,48
Winter,grass_sp2,20
Winter,grass_sp2,28
Winter,grass_sp2,26
Winter,grass_sp2,27
Winter,grass_sp2,31
Winter,grass_sp2,16
Winter,grass_sp2,44
Winter,grass_sp2,24
Winter,grass_sp2,33
Winter,grass_sp2,23
Winter,grass_sp2,21
Winter,grass_sp2,13
Winter,grass_sp2,16
Winter,grass_sp2,29
Winter,grass_sp2,22
Winter,grass_sp3,58
Winter,grass_sp3,39
Winter,grass_sp3,54
Winter,grass_sp3,51
Winter,grass_sp3,41
Winter,grass_sp3,66
Winter,grass_sp3,86
Winter,grass_sp3,56
Winter,grass_sp3,53
Winter,grass_sp3,68
Winter,grass_sp3,79
Winter,grass_sp3,58
Winter,grass_sp3,36
Winter,grass_sp3,51
Winter,grass_sp3,36
Winter,grass_sp3,58
Winter,grass_sp3,84
Winter,grass_sp3,64
Winter,grass_sp3,46
Winter,grass_sp3,53
Winter,grass_sp3,52
Winter,grass_sp3,37
Winter,grass_sp3,56
Winter,grass_sp3,53
Winter,grass_sp3,61
Winter,grass_sp3,41
Winter,grass_sp3,35
Winter,grass_sp3,18
Winter,grass_sp3,46
Winter,grass_sp3,39
